Name,Address,City,State,Years_of_Operation,Pylon,Currently,Web,Notes
Aamot & Ellingson,,Elbow Lake,MN,1963--&gt;,,,,
E. H. Beck,,Elgin,MN,&lt;--1948--&gt;,,,,
E. H. Beck & Son,,Elgin,MN,&lt;--1958-1974--&gt;,,,,
"Beck Implement, Inc.",50 Center Street South,Elgin,MN,&lt;--1978-1984--&gt;,,,,
Elk River Implements,,Elk River,MN,&lt;--1940--&gt;,,,,
Elk River Implement Company,,Elk River,MN,&lt;--1948-1962--&gt;,,,,
Herlyn Sales,,Elk River,MN,&lt;--1964--&gt;,,,,
Custom Motor & Truck Sales,,Elk River,MN,&lt;--1967-1977--&gt;,,,,
Olson Implement Company,,Ellendale,MN,&lt;--1948-1958--&gt;,,,,
Wm. Bofenkamp Hardware & Implement Company,,Ellsworth,MN,&lt;--1948--&gt;,,,,
Domeyer & Gisolf Implement,,Ellsworth,MN,&lt;--1962-1969--&gt;,,,,
"Domeyer & Gisolf, Inc.",Highway 91; Main Street,Ellsworth,MN,&lt;--1978-1980--&gt;,,,,
S. B. Jensvold Company,,Elmore,MN,&lt;--1958--&gt;,,,,
E. J. Butler Company,,Elmore,MN,&lt;--1962-1969--&gt;,,,,
Baxtrum Garage,,Ely,MN,&lt;--1948--&gt;,,,,
Diesel Power Equipment,,Ely,MN,&lt;--1958--&gt;,,,,
Mike Motors,,Ely,MN,&lt;--1962-1969--&gt;,,,,
Axel Lamppa,,Embarrass,MN,&lt;--1948--&gt;,,,,
M. A. Halling,,Eureka Center,MN,&lt;--1945,,,,
Elysian Auto Company,,Elysian,MN,&lt;--1958--&gt;,,,,
Evan Implement Company,,Evan,MN,&lt;--1948-1958--&gt;,,,,
Ostlund Hardware & Implement,,Evansville,MN,&lt;--1948--&gt;,,,,
Flom Motor Service (Inc.),501 Fayal Road,Eveleth,MN,&lt;--1948-1974--&gt;,,,,
"Tom Williams Motor & Equipment, Inc.",410 Fayal Road; 501 Fayal Road,Eveleth,MN,&lt;--1976-1980--&gt;,,,,
Mason Motor Company,,Excelsior,MN,&lt;--1958-1973--&gt;,,,,
E. H. Beck,,Eyota,MN,,,,,
Reuben Sell,,Fairfax,MN,&lt;--1946,,,,
George Nelson Equipment Company,Lincoln Avenue West,Fairfax,MN,&lt;--1948-1969--&gt;,J P,,,"44.528820, -94.722160"
Fairfax Cooperative Creamery Company,Highway 4,Fairfax,MN,&lt;--1978-1984--&gt;,,,,
J. H. Gorman Implement Company,,Fairmont,MN,1902-1922--&gt;,,,,
A .H. Welchlin,,Fairmont,MN,&lt;--1916--&gt;,,,,
Martin Meier,,Fairmont,MN,&lt;--1937--&gt;,,,,
Meier Implement Company,,Fairmont,MN,&lt;--1944,,,,
Schmanski Implement Company,,Fairmont,MN,&lt;--1948,M,,,
Hodgman Equipment Company (Inc.),,Fairmont,MN,&lt;--1948-1958--&gt;,,,,
International Town & Country Equipment Company,,Fairmont,MN,&lt;--1962-1969--&gt;,,,,
Martin County Implement Company,Highway 16 West,Fairmont,MN,&lt;--1966--&gt;,,,,
International Harvester Company,Highway 16 West,Fairmont,MN,&lt;--1973-1976--&gt;,,,,
"Braeger International, Inc.",2320 West Lake Avenue,Fairmont,MN,&lt;--1978-1984--&gt;,,,,
Fairmont Equipment Company,2320 West Lake Avenue,Fairmont,MN,&lt;--1985--&gt;,P-ish?,,,
Welchlin & Rahn,,Fairmont,MN,,,,,
H. C. Heine & Son,,Faribault,MN,&lt;--1921--&gt;,,,,
Farm Equipment Store,,Farmington,MN,&lt;--1948-1964--&gt;,J,,,
Fischer Oldsmobile,,Farmington,MN,&lt;--1967-1969--&gt;,,,,
Joe Graeve Motors,201 Spruce Street,Farmington,MN,&lt;--1973-1976--&gt;,,,,
Farm Service Association of Farmington,310 3rd Street,Farmington,MN,&lt;--1978--&gt;,,,,
Fischer Brothers,,Farmington,MN,,,,,
Harry Swanson,,Felton,MN,&lt;--1945,,,,
O. Bertelsen & Company,,Fergus Falls,MN,&lt;--1914--&gt;,,,,
Mahler & Straus,,Fergus Falls,MN,&lt;--1946-1948--&gt;,,,,
McCormick Farm Equipment Store,Highway 210 West,Fergus Falls,MN,&lt;--1958-1962--&gt;,,,,
International Harvester Sales & Service,Highway 210 West,Fergus Falls,MN,&lt;--1964-1974--&gt;,,,,
"Helle International, Inc.",Highway 210 West,Fergus Falls,MN,&lt;--1976-1979--&gt;,,,,
"Fergus Falls International, Inc. / Fergus International",1010 Frontier Drive,Fergus Falls,MN,&lt;--1984-1990--&gt;,,,,
"Kinne's, Inc.",,Fergus Falls,MN,,,,,
A. O. & Solon Gullickson,,Fertile,MN,&lt;--1932-1945--&gt;,,,,
Solon Gullickson,300 Mill Street,Fertile,MN,&lt;--1946-1984--&gt;,,,,
Schoenmann's Garage,,Finlayson,MN,&lt;--1944-1949--&gt;,,,,
Hendrickson Motor Service,,Finlayson,MN,&lt;--1962-1964--&gt;,,,,
Gran Implement Company,,Floodwood,MN,&lt;--1944,,,,
S. A. Simonson,,Floodwood,MN,&lt;--1948--&gt;,,,,
Stephen's Body Shop,,Floodwood,MN,&lt;--1958--&gt;,,,,
A & A Service,,Floodwood,MN,&lt;--1962--&gt;,,,,
Farm Service Company,,Foley,MN,&lt;--1946,,,,
Schmidt & Watland Implement Company,,Foley,MN,&lt;--1948--&gt;,,,,
Schmidt Implement Company,,Foley,MN,&lt;--1958--&gt;,,,,
Wrucks Conoco Oil,,Foley,MN,&lt;--1962-1964--&gt;,,,,
Berggrens Machine Shop,,Forest Lake,MN,&lt;--1948,,,,
Lynch Implement & Motors,,Forest Lake,MN,&lt;--1948--&gt;,,,,
Hovey Equipment Company,,Forest Lake,MN,&lt;--1958--&gt;,,,,
Forest Lake Motors (Inc.),,Forest Lake,MN,&lt;--1962-1974--&gt;,,,,
Jack Lynch,,Forreston,MN,&lt;--1920--&gt;,,,,
Siguard Lade,,Fosston,MN,&lt;--1915--&gt;,,,,
J. E. Glover Implement Company,,Fosston,MN,&lt;--1945-1947--&gt;,,,,
Charles Reitmeier,,Fosston,MN,&lt;--1962-1964--&gt;,,,,
Kenny's Repair,,Fosston,MN,&lt;--1967-1969--&gt;,,,,
Frazee Implement Company,,Frazee,MN,&lt;--1914--&gt;,,,,
Daggett Implement Company,Old Highway 10,Frazee,MN,&lt;--1933-1990--&gt;,,,,
Freeport Farmers Company,,Freeport,MN,&lt;--1920--&gt;,,,,
Humbert Implement Company,,Freeport,MN,&lt;--1948-1984--&gt;,,,,
C. W. Mandelin,,French River,MN,&lt;--1948--&gt;,,,,
Jensvold Implement Company,,Frost,MN,&lt;--1940-1946--&gt;,,,,
"Jensvold, Inc.",,Frost,MN,&lt;--1948-1949--&gt;,,,,
Frost Sales & Service,,Frost,MN,&lt;--1955-1958--&gt;,,,,
M. J. Dickson & Company,,Fulda,MN,&lt;--1925-1948--&gt;,,,,
Roti-Lien,,Fulda,MN,&lt;--1958--&gt;,,,,
Roti Implement Company,,Fulda,MN,&lt;--1962--&gt;,,,,
T. G. Crane,,Garden City,MN,&lt;--1948--&gt;,,,,
Eeg Implement Company,,Gary,MN,&lt;--1948--&gt;,,,,
Airhart Implement,,Gary,MN,&lt;--1958--&gt;,,,,
Ansel Peterson,,Gaylord,MN,&lt;--1940--&gt;,,,,
Curran Equipment Company,,Gaylord,MN,&lt;--1946,,,,
Nesvig Equipment Company,8th Street & Frontage Road,Gaylord,MN,&lt;--1948-1984--&gt;,,,,
Gibbon Farmers' Cooperative Elevator Company,,Gibbon,MN,&lt;--1927--&gt;,,,,
H. C. Stresemann Hardware Company,,Gibbon,MN,&lt;--1937--&gt;,,,,
Stresemann Hardware,,Gibbon,MN,&lt;--1945,,,,
Zachman Equipment Company,,Gibbon,MN,&lt;--1948-1972--&gt;,,,,
Durken Implement Company,,Glencoe,MN,&lt;--1948--&gt;,,,,
Johnson Motor Company (Inc.),401 West 10th Street,Glencoe,MN,&lt;--1958-1990--&gt;,,,,
"Wacker Implement, Inc.",Highway 212,Glencoe,MN,&lt;--1978-1984--&gt;,,,,
Haukos Brothers,,Glencoe,MN,,,,,
Glenville Implement Company,,Glenville,MN,&lt;--1947,,,,
Hustad Implement,,Glenwood,MN,&lt;--1948--&gt;,,,,
Rybak Motor Company,,Glenwood,MN,&lt;--1958--&gt;,,,,
Grant Hustad Company,Highways 28 & 29,Glenwood,MN,&lt;--1962-1984--&gt;,,,,
Alsop Company,,Glyndon,MN,&lt;--1945,,,,
Otto Wickstrom,,Golden Valley,MN,&lt;--1948--&gt;,,,,
Jim Lupient Olds,7100 Wayzata Blvd.,Golden Valley,MN,&lt;--1976--&gt;,,,,
C. M. Bjorkquist (Company),,Gonvick,MN,&lt;--1922--&gt;,,,,
Randall Implement Company,,Gonvick,MN,&lt;--1948--&gt;,,,,
Bagne Oil Company,,Gonvick,MN,&lt;--1964-1969--&gt;,,,,
Jim Lupient Olds,7100 Wayzata Blvd.,Golden Valley,MN,&lt;--1974-1976--&gt;,,,,
A. H. Petrowske Implements / Art Petrowske Implements,,Good Thunder,MN,&lt;--1948-1958--&gt;,,,,
J. M. O'Reilly,,Goodhue,MN,&lt;--1927--&gt;,,,,
Tomfohr Implement Company (Inc.),,Goodhue,MN,&lt;--1948--&gt;,,,,
W. J. Lang,,Graceville,MN,&lt;--1922-1925--&gt;,,,,
A. P. Hustad,,Graceville,MN,&lt;--1945,,,,
Tintera Implement Company,,Graceville,MN,&lt;--1948--&gt;,,,,
Chalupnik-Hoffman (Implement),,Graceville,MN,&lt;--1957-1967,,,,
Hoffman Implement Company / Inc.,,Graceville,MN,1967-1984--&gt;,,,,
Andrew Shold,,Grand Marais,MN,&lt;--1948--&gt;,,,,
Shold & Lovaas Service,Highway 61,Grand Marais,MN,&lt;--1958-1980--&gt;,,,,
Grand Meadow Implement Company,,Grand Meadow,MN,&lt;--1948--&gt;,,,,
Hein Implement Company,,Grand Rapids,MN,&lt;--1948--&gt;,J,,,
Marohn Motor Company,,Grand Rapids,MN,&lt;--1958--&gt;,,,,
"Northern Motors of Grand Rapids, Inc.",,Grand Rapids,MN,&lt;--1962-1964--&gt;,,,,
"Mornes International, Inc.",,Grand Rapids,MN,1967-1971--&gt;,,,,"http://www.leagle.com/decision/198237243cctcm329_1292/MORNES,"
Itasca Truck Service Company,717 4th Street NE,Grand Rapids,MN,&lt;--1973-1974--&gt;,,,,
Highway Motors,,Granite Falls,MN,&lt;--1958-1969--&gt;,,,,
Rundquist & Elliott,,Grasston,MN,&lt;--1913--&gt;,,,,
Satterstrom & Samuelson,,Grasston,MN,&lt;--1948--&gt;,,,,
H. W. Prosser,,Greenbush,MN,&lt;--1948-1962--&gt;,,,,
Braun's Motor Service,,Greenbush,MN,&lt;--1967-1969--&gt;,,,,
Greenwald Farmers Co-op Company,,Greenwald,MN,&lt;--1948--&gt;,,,,
"Welle Implement, Inc.",21 4th Street,Greenwald,MN,&lt;--1978-1984--&gt;,,,,
J. J. Smith,,Grey Eagle,MN,,,,,
Holm Brothers,,Grove City,MN,&lt;--1948--&gt;,,,,
Donald Peterson Motors,,Grove City,MN,&lt;--1958-1969--&gt;,,,,
John Viken,,Grygla,MN,&lt;--1948--&gt;,,,,
L. H. Aos,,Gully,MN,&lt;--1948--&gt;,,,,
Nelson Implement Company,,Hallock,MN,&lt;--1936-1939,,,,
Nelson-Booker Implement Company,,Hallock,MN,1940-1942,,,,
Nelson Implement Company,,Hallock,MN,1943-1949--&gt;,,,,
Dappen & Quade,,Hallock,MN,&lt;--1952--&gt;,,,,
E. F. Quade,,Hallock,MN,&lt;--1958-1965--&gt;,,,,
Quade Implement Company,800 North Douglas Avenue,Hallock,MN,&lt;--1967-1973--&gt;,,,,
"Betlach, Inc.",Highway 75,Hallock,MN,&lt;--1974-1980--&gt;,,,,
"Morrison Equipment, Inc.",Atlantic Avenue,Hallock,MN,&lt;--1984--&gt;,,,,
Julius (Juel) Furuseth,,Halstad,MN,&lt;--1940-1948--&gt;,,,,
Wiese Equipment Company,,Halstad,MN,&lt;--1958--&gt;,,,,
McLaughlin Sales & Service,,Halstad,MN,&lt;--1962-1969--&gt;,,,,
Johnson & Olson Implement Company,,Hancock,MN,&lt;--1945,,,,
Mikkelson Implement,,Hancock,MN,&lt;--1948--&gt;,,,,
Mikkelson Motor & Implement,,Hancock,MN,&lt;--1958-1962--&gt;,,,,
Ing Johnson,,Hanley Falls,MN,&lt;--1911-1913--&gt;,,,,
Jesse Markeson,,Hanska,MN,,,,,
H. C. Peterson,,Hardwick,MN,&lt;--1946,,,,
Todd Implement Company,,Harmony,MN,&lt;--1948--&gt;,,,,
Harmony Implement Company,,Harmony,MN,&lt;--1958--&gt;,,,,
Harmony Truck Service,45 East Center Street,Harmony,MN,&lt;--1962-1977--&gt;,,,,
P & H Implement Company,30 Main Avenue S,Harmony,MN,&lt;--1978-1984--&gt;,,,,
Todd Bros.,,Harmony,MN,,,,,
Juntti Bros.,,Harney,MN,&lt;--1948--&gt;,,,,
Arnold's Garage,,Hartland,MN,&lt;--1958-1969--&gt;,,,,
"Bahls Implement & Motor Company / Bahls Motor & Implement, Inc.",101 Vermillion Street; 1017 Vermillion Street,Hastings,MN,&lt;--1948-1985--&gt;,J,,,
Thysell Brothers (Inc.),520 Main Street,Hawley,MN,&lt;--1948-1993,,,,
Brewer Munson Company,,Hayfield,MN,&lt;--1948--&gt;,,,,
Munson Implement Company,,Hayfield,MN,&lt;--1958--&gt;,,,,
Ole Esse & Son,,Hayward,MN,&lt;--1946,,,,
Ralph Braithwait,,Hector,MN,&lt;--1913--&gt;,,,,
Leo Rick,,Hector,MN,&lt;--1945,,,,
Butler & Larson,,Hector,MN,&lt;--1946,,,,
"Butler & Hendrickson, Inc.",,Hector,MN,&lt;--1948--&gt;,J,,,
Standard Motors,,Hector,MN,&lt;--1958-1976--&gt;,,,,
Standard Truck & Equipment Company,,Hector,MN,&lt;--1977-1979--&gt;,,,,
Hector Implement Company (Inc.),,Hector,MN,&lt;--1968-1984--&gt;,,,,
Steckman Bros.,,Henderson,MN,&lt;--1948-1969--&gt;,,,,
"E. C. Johnson / Dorn, Johnson & Moe, Inc.",,Hendricks,MN,1913-1943,,,,
Ray Thomsen,,Hendricks,MN,1943--&gt;,,,,
Thomsen Implement Company,,Hendricks,MN,&lt;--1948-1969--&gt;,,,,
"Ray Thomsen Implement, Inc.",Main Street,Hendricks,MN,&lt;--1973-1978,,,,
E. B. Brogard,,Henning,MN,&lt;--1945,,,,
Nelson Implement Company,,Henning,MN,&lt;--1947,,,,
Smith & Ferweda,,Henning,MN,&lt;--1948--&gt;,,,,
Wichterman Implement,,Henning,MN,&lt;--1953--&gt;,,,,
Thelen Implement,,Henning,MN,&lt;--1958--&gt;,,,,
Hawbaker Implements,,Herman,MN,&lt;--1948--&gt;,,,,
"Pederson Implement / Pederson's Agri-Service, Inc.",101 3rd Street E; 501 Pacific Avenue N,Herman,MN,1958-2017--&gt;,,Titan,,
"Mesaba Motors, Inc.",,Hibbing,MN,&lt;--1948--&gt;,,,,
Rosholt Equipment Company,2716 1st Avenue,Hibbing,MN,&lt;--1954--&gt;,,,,
Furlong & McHardy Motor Sales (Inc.),,Hibbing,MN,&lt;--1958-1962--&gt;,,,,
Cliff Rue Motor Sales,,Hibbing,MN,&lt;--1967-1969--&gt;,,,,
Phillippi Equipment Company,,Hibbing,MN,,,,,
J. B. Myhr,,Hill City,MN,,,,,
Herreid Implement,,Hills,MN,&lt;--1941-1942--&gt;,,,,
Sjolseth Implement Company,,Hills,MN,&lt;--1945-1950--&gt;,,,,
Dehler Implement Company,,Hinckley,MN,&lt;--1945,,,,
Williams Implement Company,,Hinckley,MN,&lt;--1948-1958--&gt;,,,,
Libra Implement Company,,Hinckley,MN,&lt;--1962--&gt;,,,,
Pruissen Truck & Implement Company,,Hinckley,MN,&lt;--1967-1969--&gt;,,,,
Pruissen Equipment Company,,Hinckley,MN,&lt;--1972-1984--&gt;,,,,
M. J. Solum,,Hitterdal,MN,&lt;--1948--&gt;,,,,
Sletten Implement Company,,Hoffman,MN,&lt;--1948-1958--&gt;,,,,
Olson Equipment,,Hoffman,MN,&lt;--1965--&gt;,,,,
Hokah Hardware Company,,Hokah,MN,&lt;--1927-1948--&gt;,,,,
Hokah Implement Company,,Hokah,MN,&lt;--1960-1961--&gt;,,,,
Jos. H. Philipsek,,Holdingford,MN,&lt;--1945,,,,
Holdingford Implement Company,,Holdingford,MN,&lt;--1948--&gt;,,,,
Kremer-Soltis,,Holdingford,MN,&lt;--1958--&gt;,,,,
Richard Verthein,,Holland,MN,&lt;--1946,,,,
W. H. Pfeiffer,,Holloway,MN,&lt;--1926--&gt;,,,,
Bren Hardware Company,714 Excelsior Avenue,Hopkins,MN,&lt;--1948--&gt;,,,,
Tracy Bros.,,Houston,MN,&lt;--1939--&gt;,,,,
Tracy Implement Company,,Houston,MN,&lt;--1948--&gt;,,,,
Loerch Implement Company,,Houston,MN,&lt;--1958-1973--&gt;,,,,
Strache Brothers,,Howard Lake,MN,&lt;--1927-1928--&gt;,,,,
Moorhead Implements / Moorhead Implement Company,,Howard Lake,MN,&lt;--1948-1958--&gt;,J,,,P? 6th Street between 11th and 12th Aves.
Koenig Hardware Company,,Howard Lake,MN,,,,,
Humboldt Lumber & Machine Company,,Humboldt,MN,&lt;--1945,,,,
A. E. Anderson,,Huntley,MN,&lt;--1948--&gt;,,,,
W. W. Sivright,,Hutchinson,MN,&lt;--1909--&gt;,,,,
Thompson Brothers,,Hutchinson,MN,&lt;--1914--&gt;,,,,
Langfitt & Company,,Hutchinson,MN,&lt;--1926--&gt;,,,,
Ramberg Implement Company,,Hutchinson,MN,&lt;--1944,,,,
Larson Farm Equipment,,Hutchinson,MN,&lt;--1948--&gt;,J,,,
"Beises, Inc.",,Hutchinson,MN,&lt;--1962-1964--&gt;,,,,
"Hutch Equipment, Inc.",Highway 7 East,Hutchinson,MN,&lt;--1967-1980--&gt;,,,,
Dahlmeier Bros.,,Ihlen,MN,,,,,
Thompson & Doyle,,International Falls,MN,&lt;--1947,,,,
"Thomson & Kendall, Inc.",,International Falls,MN,&lt;--1958--&gt;,,,,
Wherley Motor Sales,,International Falls,MN,&lt;--1962-1969--&gt;,,,,
Northern Lumber Company,12th Street & Highway 53,International Falls,MN,,,,,
Priebe Motor Company,,Inner Grove Heights,MN,&lt;--1967-1969--&gt;,,,,
Suburban Tractor Sales,Babcock Trail & Upper 55th Street E,Inner Grove Heights,MN,,,,,
Jas. Koob,,Iona,MN,&lt;--1912--&gt;,,,,
Iona Implement Company,,Iona,MN,&lt;--1947,,,,
Steinke Garage,,Ironton,MN,&lt;--1962-1973--&gt;,,,,
Mille Lacs Service Garage (Inc.),,Isle,MN,&lt;--1958-1969--&gt;,,,,
Harry Cherp Implement Company,,Ivanhoe,MN,&lt;--1948--&gt;,,,,
Leibfried Implement Company,,Ivanhoe,MN,,,,,
A. J. Watland Company,Highway 71 North,Jackson,MN,&lt;--1948-1984--&gt;,,,,
Konieski Bros.,,Janesville,MN,&lt;--1947-1948--&gt;,,,,
Arnold Implement Company,,Janesville,MN,&lt;--1957--&gt;,,,,
Arnold Implement Company,,Janesville,MN,&lt;--1971--&gt;,,,,
"Arnold Implement, Inc.",414 South Main Street,Janesville,MN,&lt;--1978-1984--&gt;,,,,
Jasper Implement Company,,Jasper,MN,&lt;--1948-1958--&gt;,,,,
A. E. Sykora,,Jeffers,MN,&lt;--1948-1984--&gt;,,,,
Max Winters,,Johnson,MN,&lt;--1948--&gt;,,,,
Fred Habegger,,Jordan,MN,&lt;--1915--&gt;,,,,
J. J. Stang,,Jordan,MN,&lt;--1948--&gt;,,,,
R. M. Jones,,Judson,MN,&lt;--1946,,,,
Holm Brothers,,Kandiyohi,MN,&lt;--1948--&gt;,,,,
C. L. Spangrud,,Karlstad,MN,&lt;--1944,,,,
Bruce Halldorson,,Karlstad,MN,&lt;--1948--&gt;,,,,
Karlstad Auto Parts,,Karlstad,MN,&lt;--1967-1974--&gt;,,,,
KAPCO Truck Equipment (Inc.),Highway 11 West,Karlstad,MN,&lt;--1976-1977--&gt;,,,,
D. W. Brewer,,Kasson,MN,&lt;--1915-1930--&gt;,,,,
Brewer Implement (Company),105 Mantorville Avenue S,Kasson,MN,&lt;--1948-1967--&gt;,J P,,,"44.028477, -92.748657"
Bishop & Wachholz Implement / Inc.,105 Mantorville Avenue S; 601 8th Street SE,Kasson,MN,&lt;--1969-1984--&gt;,P,Minnesota Ag Group,,"44.028477, -92.748657"
Skoe Implement Company,Highway 72,Kelliher,MN,&lt;--1958-1984--&gt;,,,,
Kellogg Implement Company,,Kellogg,MN,&lt;--1946,,,,
A. H. Kullander,,Kensington,MN,&lt;--1945,,,,
Skoglund Implement Company,,Kensington,MN,&lt;--1948-1950--&gt;,,,,
Skoglund & Anderson,,Kensington,MN,&lt;--1962-1969--&gt;,,,,
Kenyon Farmers' Mercantile & Elevator Company,Highway 56 North,Kenyon,MN,&lt;--1942-1984--&gt;,,,,
Johnson Machine Company,Atlantic Avenue,Kerkhoven,MN,&lt;--1948--&gt;,J P,,,"45.189660, -95.313450"
Williams Implement Company,,Kerkhoven,MN,&lt;--1955--&gt;,,,,
Kiester Implement Company / Inc.,,Kiester,MN,&lt;--1948-1984--&gt;,,,,
Dingmann Hardware,,Kimball,MN,&lt;--1948--&gt;,,,,
Jesse Markeson,,La Salle,MN,&lt;--1936-1956--&gt;,,,,
C. F. Bergquist & Company,,Lafayette,MN,&lt;--1930-1948--&gt;,,,,
Floyd W. Monahan / Monahan's,,Lake Benton,MN,&lt;--1948-1958--&gt;,,,,
Bronson Motors,,Lake Bronson,MN,&lt;--1948--&gt;,,,,
McKenzie Implement Company,,Lake City,MN,&lt;--1948-1958--&gt;,,,,
McKenzie Company,211 East Lyon Avenue,Lake City,MN,&lt;--1962-1973--&gt;,,,,
Kamas Implement (Company),,Lake Crystal,MN,&lt;--1958-1964--&gt;,,,,
E. A. Lindeman,,Lake Elmo,MN,&lt;--1915--&gt;,,,,
Leo Schneider,,Lake Elmo,MN,&lt;--1928--&gt;,,,,
M. J. Brookman,,Lake Elmo,MN,&lt;--1948--&gt;,J,,,P? @ 11144 Stillwater Blvd N
Brookman's,,Lake Elmo,MN,&lt;--1958--&gt;,,,,
Brookman Motor Sales,11144 Stillwater Avenue N,Lake Elmo,MN,&lt;--1962-1976--&gt;,,,,
Nordin Implements (Inc.),,Lake Lillian,MN,&lt;--1948--&gt;,,,,
Wohnoutka Implement,,Lake Lillian,MN,,,,,
Helgeson Motor Company,,Lake Mills,MN,,,,,
Hanson & Nannestad,,Lake Park,MN,&lt;--1944,,,,
Friese Implement (Company),,Lake Park,MN,&lt;--1948-1964--&gt;,,,,
Watland Implement Company,,Lakefield,MN,&lt;--1948-1955--&gt;,,,,
Lakeville Implement Company,,Lakeville,MN,&lt;--1948--&gt;,,,,
Theo. Waibel,,Lamberton,MN,&lt;--1920--&gt;,,,,
"Bellig & Johnson, Inc.",,Lamberton,MN,&lt;--1948-1964--&gt;,,,,
"W-M Company, Inc.",209 1st Avenue East,Lamberton,MN,&lt;--1978-1980--&gt;,,,,
Farmers Hardware Company,,Lancaster,MN,&lt;--1947,,,,
Swenson Implement Company,,Lancaster,MN,&lt;--1948--&gt;,,,,
Lancaster Implement & Supply Company,,Lancaster,MN,&lt;--1962-1969--&gt;,,,,
Eastman Implement Company,,Lanesboro,MN,,,,,
Lanesboro Grain Company,,Lanesboro,MN,,,,,
C. C. Matejcek,,Le Center,MN,&lt;--1948,,,,
Mangels Implement Company,,Le Center,MN,&lt;--1948--&gt;,,,,
John Kehoe,,Le Sueur,MN,&lt;--1921--&gt;,,,,
Paul Meyer,,Le Sueur,MN,&lt;--1948--&gt;,,,,
"Bohlke International, Inc.",,Le Sueur,MN,&lt;--1978-1982--&gt;,,,,
